GEOID10,ACCESS2_CrudePrev,BINGE_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,LPA_CrudePrev,MHLTH_CrudePrev,"1,3-butadiene",Acetaldehyde,Benzene,Carbon tetrachloride,Diesel Particulate Matter,Ethylene oxide,Formaldehyde,Napthalene,Severe_Housing_Problems,Housing_Cost_Burden,Total_households_with_internet,Unemploymen_ rate,Median_income
17031170900,12.9,17.9,9.5,5.7,16.8,10.3,29.6,15.1,0.03,0.66,0.33,0.52,0.46,0.0,0.98,0.02,60,30,557,16.9,74038
17031210100,13.6,20.3,8.6,3.3,12.3,8.0,24.5,13.7,0.03,0.63,0.36,0.52,0.63,0.0,0.94,0.03,100,55,1671,1.7,143375
17031420200,11.1,13.9,11.8,5.7,19.5,15.8,33.5,17.3,0.02,0.61,0.32,0.52,0.51,0.0,0.91,0.02,25,165,611,18.6,80222
17031420300,9.2,19.1,11.2,2.3,13.0,6.9,25.1,20.5,0.02,0.61,0.32,0.52,0.52,0.0,0.91,0.02,20,240,538,11.2,-
17031440600,7.7,12.9,11.1,6.0,13.8,15.6,30.2,13.4,0.02,0.61,0.33,0.52,0.55,0.0,0.92,0.02,90,35,534,8.1,61582
17031440800,13.7,11.2,13.6,7.7,24.9,21.5,43.5,19.5,0.02,0.61,0.31,0.52,0.54,0.0,0.91,0.02,30,200,587,25.6,-
17031440900,11.1,11.7,12.3,7.1,19.6,18.8,37.7,16.1,0.02,0.61,0.33,0.52,0.55,0.0,0.92,0.02,140,75,932,34.4,82614
17031560400,25.7,16.4,9.7,6.5,18.2,13.3,38.6,16.2,0.04,0.76,0.39,0.52,0.59,0.0,1.08,0.1,85,0,389,2.6,81750
17031450300,10.0,12.2,11.9,6.9,17.8,18.4,35.2,15.0,0.02,0.6,0.3,0.52,0.42,0.0,0.9,0.02,130,245,1132,15.1,71058
17031671900,13.4,12.5,12.5,7.2,21.1,18.2,39.4,17.1,0.02,0.61,0.33,0.52,0.47,0.0,0.91,0.02,45,45,360,13.7,56782
17031672000,12.7,12.6,12.4,6.8,21.1,18.5,38.3,17.1,0.02,0.61,0.33,0.52,0.47,0.0,0.92,0.02,180,130,902,14.1,55807
17031680900,17.3,10.9,14.2,8.6,28.1,22.1,47.5,21.5,0.02,0.61,0.33,0.52,0.53,0.0,0.92,0.02,95,445,1291,34.4,41181
17031681000,19.9,10.6,14.8,9.5,32.9,25.2,51.8,23.0,0.02,0.61,0.33,0.52,0.52,0.0,0.92,0.02,65,135,747,13.2,43373
17031240200,5.6,23.3,8.0,2.6,8.1,4.9,15.4,11.8,0.02,0.64,0.35,0.52,0.65,0.0,0.96,0.04,90,65,664,1.4,183333
17031240300,4.3,25.2,8.0,2.0,6.7,3.6,12.4,11.8,0.02,0.64,0.35,0.52,0.63,0.0,0.96,0.04,45,45,585,1.5,"250,000"
17031200200,25.9,17.6,9.4,4.6,15.6,12.3,36.8,16.0,0.02,0.64,0.36,0.52,0.61,0.0,0.95,0.03,275,95,1434,4.6,73083
17031410500,7.0,17.4,10.8,3.5,11.2,9.3,23.2,16.1,0.02,0.61,0.32,0.52,0.54,0.0,0.92,0.02,75,315,1561,2.0,77151
17031410600,8.2,17.8,10.4,3.8,13.9,9.0,25.1,17.2,0.02,0.61,0.32,0.52,0.54,0.0,0.92,0.02,105,300,1104,8.4,147240
17031170100,8.7,12.9,8.8,9.6,12.8,13.3,30.6,11.8,0.03,0.63,0.36,0.52,0.46,0.0,0.94,0.03,210,55,723,2.0,86111
17031170200,9.4,19.8,8.6,4.4,11.4,8.1,22.5,13.0,0.03,0.63,0.35,0.52,0.45,0.0,0.94,0.03,170,45,1149,5.3,110837
17031170300,10.3,18.9,8.8,5.2,13.8,9.1,25.4,13.7,0.03,0.63,0.35,0.52,0.45,0.0,0.95,0.03,170,80,1681,4.1,117917
